id_atribut_sada;nazev;scenar_nazev;Průměr_kol;Vítěz_Hráč1_%;Medián_kol;Min_kol;Max_kol;Směrodatná_odchylka_kol;Počet_simulací;Vítěz_Hráč2_%;Nerozhodně_%;Neznámý_%
4.rytir_barbar;Válečník_vs_Lovec;hora;9.11;14.2;9.0;4;21;2.61;1000;85.8;0.0;0.0
4.rytir_barbar;Válečník_vs_Lovec;rovina;5.08;27.5;5.0;3;11;0.97;1000;72.5;0.0;0.0
5.;Válečník_vs_Lovec;hora;9.11;17.2;9.0;4;21;2.62;1000;82.8;0.0;0.0
5.;Válečník_vs_Lovec;rovina;5.09;32.3;5.0;3;11;0.96;1000;67.7;0.0;0.0
6.lovec_def_-1;Válečník_vs_Lovec;hora;9.01;36.2;9.0;4;21;2.61;1000;63.8;0.0;0.0
6.lovec_def_-1;Válečník_vs_Lovec;rovina;4.89;59.3;5.0;3;10;0.93;1000;40.7;0.0;0.0
1.zaklad;Válečník_vs_Ostrostřelec;hora;6.41;2.0;6.0;4;13;1.52;1000;98.0;0.0;0.0
1.zaklad;Válečník_vs_Ostrostřelec;rovina;4.69;11.9;5.0;3;8;0.85;1000;88.1;0.0;0.0
2.oslabeni;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
2.oslabeni;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
4.rytir_barbar;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
4.rytir_barbar;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
5.;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
5.;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
6.lovec_def_-1;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
6.lovec_def_-1;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
1.zaklad;Válečník_vs_Rytíř;hora;9.31;0.0;9.0;5;23;2.88;1000;100.0;0.0;0.0
1.zaklad;Válečník_vs_Rytíř;rovina;6.07;0.0;6.0;4;14;1.33;1000;100.0;0.0;0.0
2.oslabeni;Válečník_vs_Rytíř;hora;9.35;0.5;9.0;5;23;2.88;1000;99.5;0.0;0.0
2.oslabeni;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.32;1000;100.0;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Rytíř;hora;9.35;0.5;9.0;5;23;2.88;1000;99.5;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.32;1000;100.0;0.0;0.0
4.rytir_barbar;Válečník_vs_Rytíř;hora;9.35;1.0;9.0;5;23;2.88;1000;99.0;0.0;0.0
4.rytir_barbar;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.32;1000;100.0;0.0;0.0
5.;Válečník_vs_Rytíř;hora;9.35;0.7;9.0;5;23;2.87;1000;99.3;0.0;0.0
5.;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.33;1000;100.0;0.0;0.0
6.lovec_def_-1;Válečník_vs_Rytíř;hora;9.35;0.7;9.0;5;23;2.87;1000;99.3;0.0;0.0
6.lovec_def_-1;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.33;1000;100.0;0.0;0.0
